id,shop_name,food_name,meal_size,meal_form,cuisine,price,price_range,lat,lon,image_url,calories_estimate,nutrition_profile,food_name
001,Cơm tấm A Dũng,Cơm tấm,full_meal,dry,vie,50000,standard,10.76534041,106.7067963,https://commons.wikimedia.org/wiki/Special:FilePath/Com-Tam-2008.jpg,high,high_protein,Cơm tấm
002,Bún riêu Yến,Bún riêu,full_meal,liquid,vie,40000,standard,10.79176868,106.6639735,https://commons.wikimedia.org/wiki/Special:FilePath/Bun_rieu.jpg,medium,high_protein,Bún riêu
003,Cơm tấm Phúc Lộc Thọ,Cơm tấm,full_meal,dry,vie,40000,standard,10.77198548,106.6700779,https://commons.wikimedia.org/wiki/Special:FilePath/C%C6%A1m_t%E1%BA%A5m_s%C6%B0%E1%BB%9Dn_b%C3%AC_ch%E1%BA%A3.jpg,high,high_protein,Cơm tấm
004,Mì trộn Kỳ Đồng,Mì trộn,full_meal,dry,vie,50000,standard,10.78455043,106.6811926,https://commons.wikimedia.org/wiki/Special:FilePath/Mie_goreng.jpg,medium,normal,Mì trộn
005,PizzaHut (Nguyễn Tri Phương),Pizza,full_meal,dry,us,150000,premium,10.76617378,106.6673172,https://commons.wikimedia.org/wiki/Special:FilePath/Pizza_Margherita.jpg,high,greasy,Pizza
006,Bún thịt nướng Kiều Bảo,Bún thịt nướng,full_meal,dry,vie,35000,standard,10.76218795,106.6681665,https://commons.wikimedia.org/wiki/Special:FilePath/Bun_thit_nuong.jpg,medium,high_protein,Bún thịt nướng
007,Lẩu gà lá é Dã Chiến,Lẩu gà lá é,full_meal,liquid,vie,100000,premium,10.7683009,106.667032,https://commons.wikimedia.org/wiki/Special:FilePath/Hotpot.jpg,medium,high_protein,Lẩu gà lá é
008,Bún thái A Tùng,Bún thái,full_meal,liquid,vie,40000,standard,10.77285038,106.6691865,https://commons.wikimedia.org/wiki/Special:FilePath/Thai_noodle_soup%2C_spicy%2C_Khao_Yai%2C_Thailand.jpg,medium,high_protein,Bún thái
009,Bún chả 36,Bún chả,full_meal,liquid,vie,45000,standard,10.76800077,106.6612994,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%BAn_ch%E1%BA%A3_H%C3%A0_N%E1%BB%99i_%28th%E1%BB%8Bt_n%C6%B0%E1%BB%9Bng%29_t%E1%BA%A1i_Nguy%E1%BB%85n_S%C6%A1n%2C_T%C3%A2n_Ph%C3%BA_%281%29.jpg,medium,high_protein,Bún chả
010,Bún chả 36,Bún đậu mắm tôm,full_meal,dry,vie,50000,standard,10.76800077,106.6612994,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg,high,greasy,Bún đậu mắm tôm
011,Pizza 4P's (Hai Bà Trưng),Pizza,full_meal,dry,us,250000,premium,10.78333733,106.6970999,https://commons.wikimedia.org/wiki/Special:FilePath/Margherita_pizza.jpg,high,greasy,Pizza
012,Pizza 4P's (Hai Bà Trưng),Mỳ Ý,full_meal,dry,us,150000,premium,10.78333733,106.6970999,https://commons.wikimedia.org/wiki/Special:FilePath/Spaghetti-prepared.jpg,high,normal,Mỳ Ý
013,Texas Chicken (Lê Đại Hành),Gà rán,full_meal,dry,us,80000,standard,10.76336118,106.6560431,https://commons.wikimedia.org/wiki/Special:FilePath/Fried_Chicken.jpg,high,greasy,Gà rán
014,"Bánh cuốn, bánh ướt Đào Duy Từ",Bánh cuốn,full_meal,dry,vie,25000,cheap,10.76036204,106.6669321,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A1nh_cu%E1%BB%91n.jpg,low,normal,Bánh cuốn
015,"Bánh cuốn, bánh ướt Đào Duy Từ",Bánh ướt,full_meal,dry,vie,25000,cheap,10.76036204,106.6669321,https://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A1nh_%C6%B0%E1%BB%9Bt.jpg,low,normal,Bánh ướt
016,Hanur! (Điện Biên Phủ),Miến trộn,full_meal,dry,kor,60000,standard,10.77122415,106.6771543,https://commons.wikimedia.org/wiki/Special:FilePath/Japchae.jpg,medium,normal,Miến trộn
017,Hanur! (Điện Biên Phủ),Gà rán,full_meal,dry,kor,50000,standard,10.77122415,106.6771543,https://commons.wikimedia.org/wiki/Special:FilePath/Friedchicken.jpg,high,greasy,Gà rán
018,Hanur! (Điện Biên Phủ),Cơm trộn,full_meal,dry,kor,60000,standard,10.77122415,106.6771543,https://commons.wikimedia.org/wiki/Special:FilePath/Bibimbap_with_side_dishes.jpg,high,normal,Cơm trộn
019,Gỏi cuốn Mạ Tôi,Cuốn bò bía,light_meal,finger,vie,40000,standard,10.75786079,106.6892412,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bo_Bia_Jicama_Rolls.jpg,medium,normal,Cuốn bò bía
020,KFC (Lê Văn Sỹ),Gà rán,full_meal,dry,us,80000,standard,10.78982005,106.6758621,https://commons.wikimedia.org/wiki/Special:Redirect/file/KFC_Fried_chicken.jpg,high,normal,Gà rán
021,Jolibee,Gà rán,full_meal,dry,us,60000,standard,10.77980495,106.6672888,https://commons.wikimedia.org/wiki/Special:Redirect/file/Jollibee_Chickenjoy_with_Palabok.jpg,high,greasy,Gà rán
022,Jolibee,Mì Ý,full_meal,dry,us,50000,standard,10.77980495,106.6672888,https://commons.wikimedia.org/wiki/Special:Redirect/file/Classic-spaghetti-carbonara.jpg,high,normal,Mì Ý
023,Pad Thái Nana,Pad Thái,full_meal,dry,tha,55000,standard,10.76227751,106.7033091,https://commons.wikimedia.org/wiki/Special:FilePath/Pad_thai.jpg,high,greasy,Pad Thái
024,Sum Thai,Pad Thái,full_meal,dry,tha,100000,premium,10.76593093,106.6679017,https://commons.wikimedia.org/wiki/Special:Redirect/file/Pad_Thai_with_Pork_-_Unithai.jpg,high,greasy,Pad Thái
025,Sum Thai,Gỏi tôm,light_meal,dry,tha,100000,premium,10.76593093,106.6679017,https://upload.wikimedia.org/wikipedia/commons/6/68/Vietnamese_mango_salad_with_shrimp.jpg,low,high_protein,Gỏi tôm
026,Sum Thai,Sườn hầm,full_meal,liquid,tha,150000,premium,10.76593093,106.6679017,https://commons.wikimedia.org/wiki/Special:FilePath/Galbi-jjim.jpg,medium,high_protein,Sườn hầm
027,Sum Thai,Xôi xoài,snack,dry,tha,70000,premium,10.76593093,106.6679017,https://commons.wikimedia.org/wiki/Special:FilePath/Mango_sticky_rice.jpg,high,sweet,Xôi xoài
028,Unagi Shokudo,Cơm lươn,full_meal,dry,jpn,180000,premium,10.72345549,106.7278693,https://commons.wikimedia.org/wiki/Special:FilePath/Unadon_%286029037412%29.jpg,high,high_protein,Cơm lươn
029,Unagi Shokudo,Sushi,full_meal,dry,jpn,200000,premium,10.72345549,106.7278693,https://commons.wikimedia.org/wiki/Special:FilePath/Sushi_%281%29.jpg,medium,high_protein,Sushi
030,Unagi Shokudo,Ramen,full_meal,liquid,jpn,140000,premium,10.72345549,106.7278693,https://commons.wikimedia.org/wiki/Special:FilePath/Tokyo_ramen_-_Flickr_-_Zanpei.jpg,medium,normal,Ramen
